Oracion                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               | Etiqueta Real   | Predicción
hace mal foco  si problemas si va internet poder usar interruptor luz manual caos prende si llegan hacer focos apagas prendes apagador configurarlo primera                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              | 2.0             | 3.0
bien precio  embargo llego lastimado repisas escritorio esquina                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          | 3.0             | 4.0
esperaba precio  cancelacion ruido excelente  vale pena dinero                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           | 3.0             | 5.0
ventajas  1 diseno material utilizados juguete buenos  hicieron buen trabajo detalles  especialmente partes orejas  sienten diferentes resto juguete  parece ma realista  2 voz alta clara  tambien opcion cambiar idioma france  3 sirve bien pieza decorativa debido atractivo aspecto tamano  contra  1 si bien juguete puede resultar divertido primer momento  rapidamente vuelve aburrido  realiza solo do acciones    si considerando ninos  posible suficientemente interactivo  2 precio caro debido funciones limitadas  ojala anadido luce ma movimientos  recomienda  coleccionistas harry potter pieza decorativa  si  embargo  juguete infantil interactivo                                                                                                                                                                                                                                                                                                                                                                | 2.0             | 5.0
experiencia despues casi ano  inicio facil instalacion  foco  aunque agregarlo aplicacion deja cosas desear  necesito crear cuenta fuerza  entregar datos poder encender apagar luz suena                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                | 2.0             | 4.0
desconecta constantemente fuerte ruido tartamudeo  muchas persona problema  vale pena                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    | 2.0             | 1.0
control parecia bueno  realidad mando defectos necesita mejorar  pedales imprecisos  activa dificil mismo nivel carcasa control  fallos  falla                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           | 1.0             | 4.0
auriculare dejaron cargarse menos ano  razer negara reemplazarlos repararlos cualquier oportunidad                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       | 1.0             | 5.0
calidad audio parece bien  super faciles conectar duracion bateria bien tambien  caso  vuelven molestos despues 23 horas uso  si tal vez quedaron chico                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  | 3.0             | 3.0
escritorio cumple especificado ofrece  sencillo  ideal espacio pequenos  caso  empacado suficiente proteger esquinas  dano  golpe da pie empiece crecer desperfecto                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      | 3.0             | 4.0
volver pedirlo  solo nesesito regalo ahora salio ma caro voy entregar tarde obsequio                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     | 2.0             | 5.0
unica mala critica  cuanto hacer pedido salio bien  consegui auriculare funcionaran bien 30 dia  ahora  repente  microfono funciona  solucione problemas vano  tal vez solo malo   supongo siempre riesgo comprar productos electronicos linea  aun asi costaba mitad   general  comprare auriculare linea  tal vez reacondicionado   amigo pidio alguien  bien  verdad dificil decir  hijos pequenos cuido aparatos electronicos  asi problema definitivamente usuario                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  | 1.0             | 4.0
tamano pequeno  sonido impresionate  agil informacion pidas  recomendable flojos queremos pararnos apagar focos tv                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       | 5.0             | 1.0
foco funciona perfectamente bien apesar pequeno si ofrece buena luz almplia gama colores  alexa funciona perfeccion                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      | 5.0             | 2.0
buen sonido comodos pasa ruidos mala comunicacion xbox do metro delante  buenos  recomiendo irse pro  tambien bluetooth genus mucha falla pitidos                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        | 4.0             | 1.0
cuestan ma auriculare inalambricos xbox suena peor inalambricos xbox demasiado inestable  problema conocido  sonidos crujidos  puede cambiar correctamente llamadas bt xbox  puerto usb c demasiado profundo cable pueden cargarlo microfono direccional montaje microfono debil                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         | 2.0             | 1.0
opinion producto  si audifonos suenan excelente superaron expectativas ma modos manejan juego demas  probe xbox one series x emparejan ningun problema use 1 semana ningun problema  materiales                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          | 4.0             | 4.0
okay  app sencilla facil comprender  gusta colores esten tenues siento iluminan deberian  ve oscuro  luz blancacalida bien posiblemente prefiera invertir si ilumina bien                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                | 3.0             | 1.0
encantaron auriculare inalambricos led laterales cambian color color rgb estandar comodidad telefono  buena  aqui  cercanias residencia  encontre producto calidad equivalente rango precios                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             | 5.0             | 5.0
diferencia altavoces portatiles jbl auriculare bluetooth marcas  permiten conectar usbcmicrousb cargarlos mientras juegas permiten conector 35 mm evite completo sistema bluetooth  tampoco hacen  pesar amazon vende conector 35 mm  obviamente ahi  parte conocia  sabia  diferencia altavoces personales series jbl 3 5  apaga dispositivo cargarlo desconecta bluetooth  asi reproduccion carga                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      | 3.0             | 5.0
buen producto                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            | 4.0             | 1.0
si nunca escuchado buenos auriculare  pueden funcionar  personalmente gustaria decir sonido coincide alto precio  149 dolares puedes comprar auriculare mejores  incluso copie calibrador sonido profesional pude hacer sonaran bien  creo pagas 50 dolares adicionales luz agota bateria  ranura tipo c funcionaba bien cable normal tipo c  supongo necesitas usar  carecen graf incluso 12 juegan juegos agudos demasiado alto  anadire graf suenan bien escucho musica  serian mejores si costaran alrededor 50 dolares                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              | 2.0             | 2.0
despues dia desconecto alexa aplicacion aparece linea  intente reiniciar revisar red  aplicacion permite subir fotos poder enviar problema  ahora solo funciona foco normal deje luz                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     | 2.0             | 3.0
producto llego caja ligeramente golpeada  resta efectividad  instalacion complico configuracion contrasena wifi wpa2psk  debi cambiarla contrasena solo wpa modificando                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  | 4.0             | 4.0
sonido buena calidad musica  dolian oidos primera semana  oidos ajustaron                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                | 3.0             | 1.0
ventaja  comodidad calidad sonido primera categoria  captacion calidad audio excelente  tambien parece tener filtro ruido fondo microfono capta musica reproduce segundo plano filtra llanto bebes amigo  serio  comodo cenido  contra  alcance literalmente 10 12 pie linea rectum  luego cae  microfono podium desenchufar  provocaba conexion soltara estropeaba dejaba funcionar parecia enchufado  sola vez desconecte intencionadamente  funcion silencio dificil acceso manejo  50  veces silencia restablece  volumen ajusta exactamente parte inferior trasera cada auricular  cada vez reclines silla reclines  frota ajusta volumen voz juego  forma evitarlo  familia 3 auriculare recomendacion  aunque conjunto termico ma comodo usado  volvere comprar funcionalidad inferior medium                                                                                                                                                                                                                                     | 2.0             | 3.0
despues 4 me uso  conectarlo corriente  queda  cargar entiendo bb  c si quieres platicarlo calma  c  c ganitas   c guardare cosas bb  gracias bb                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         | 1.0             | 5.0
crea buena experiencia combinacion bocina foco  recomendado habitaciones                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 | 5.0             | 3.0
escucha excelente sonido  comodos                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        | 5.0             | 4.0
productos razer  ninguno cuales negativo decir  incluyen computadoras portatiles  teclados  auriculare originales razer kraken  mouse  etc  producto ajustado  calidad sonido terrible microfono sonaba terrible  segun grupo bacalao   compre queria gastar 249 dolares serie steele reemplazando playa tortugas rota  decepcionado  recomendaria                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       | 2.0             | 1.0
foco funciono nunca siquiera puedo usar foco normal  deja parparear                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      | 1.0             | 5.0
dobby interactivo regalo perfecto cualquier fan harry potter  voz realista comparacion pelicula  reconoce instante  facil moverse interactuar  grandes pequenos adoraran                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 | 5.0             | 3.0
dura muchisimo bateria                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   | 5.0             | 3.0
foco alexa hacen buen conjunto  super recomendable                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       | 5.0             | 5.0
editando resena anterior auriculare  geniales  dejaron funcionar despues 6 me  puse contacto vendedor  despues toda solucion problemas  accedieron enviarme reemplazo  recibi repuesto  simplemente devolvieron par devolvi  ofrecio segundo reemplazo  vez actualizacion  devolvi par roto ayer recibi  mejora   combinaron bien portatil  ipad  etc  musica empezo saltar  complete ma resolucion problemas exito  envie nota harman explique problema  segundo par auriculare  zihno  hace ma ano ningun problema  hecho  suenan mejor harman  aplazado edicion resena servicio parecio util  auriculare actuales  recomendaria producto  recomendaria encarecidamente marca zihno  ma fuertes calidad sonido mejor  gracias                                                                                                                                                                                                                                                                                                          | 2.0             | 1.0
foco facil instalar  brillo bueno menudo parpadeos                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       | 2.0             | 5.0
foco facil configurar hacerlo funcionar alexa  foco rgb funciona bien ponerlo luz blanca fria calida  momento cambiarlo color rojo azul  iluminacion foco baja ve obscuro                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                | 4.0             | 3.0
magico duende dobby interactivo calcetin hace gran trabajo jugando  ninos 6 ano ma  ma 30 sonidos frases mide 216 cm  85 pulgadas  alto  ninos encanta ojos  orejas  cabeza brazos muevan interactua  dobby habla ingles france  incluye paquete  1  1 dobby magico 2  1 calcetin 3  1 camisa 4  1 hoja instrucciones gusta reacciona juguete calcetines  debo admitir bonito  juguete gran calidad ninos precio razonable  recomendable cualquiera                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      | 5.0             | 1.0
cumplieron me uso boton encendido atorada prenden                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        | 1.0             | 5.0
ventajas  entrada rapida buena relacion calidadprecio  hermosa funda formato buenos accesorios excelente precision analogos contra  plastico  incluso  aunque quita funda agradable vista presta atencion detalles  sabe barato  incomodas teclas centrales  demasiado alejadas  igual joystick analogicos  utilizan version basica mando xbox series x  tambien estan lejos  ma espaciadas  teclas traseras dificiles pulsar si utilizas juego 4  sentia bien  probablemente debido manos pequenas  dicen mejores elite  comparacion  pasta                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             | 4.0             | 5.0
encanta concepto juego personajes diferentes habilidades estilos juego                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   | 5.0             | 3.0
ruidoso                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  | 3.0             | 4.0
producto simple  precio esperaria ma materiales dejan desear  audio relativamente bueno                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  | 4.0             | 4.0
primer dia uso segundo funcionaba joystick izquierdo movia solo  dejaba acceder juegos                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   | 1.0             | 1.0
